ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
0.251808973,0.531114327,0.082489146,0.124457308,0.010130246,658,606,52,1
0.243281471,0.523338048,0.090523338,0.137199434,0.005657709,670,614,56,1
0.272189349,0.516765286,6.71E-02,0.143984221,0,484,437,47,1
0.265625,0.4953125,0.0796875,0.15,0.009375,612,547,65,1
0.253358925,0.518234165,0.084452975,0.136276392,7.68E-03,496,452,44,1
0.249287749,0.525641026,0.086894587,0.132478632,0.005698006,667,611,56,1
0.255659121,0.515312916,0.081225033,0.137150466,0.010652463,714,648,66,1
0.254143646,0.515653775,0.073664825,0.143646409,0.012891344,5.16E+02,4.71E+02,45,1
0.251177394,5.27E-01,0.069073783,0.147566719,0.004709576,604,557,47,1
0.267339218,0.514501892,6.81E-02,0.139974779,0.010088272,758,688,70,1
0.264752791,5.20E-01,6.70E-02,1.36E-01,1.28E-02,598,545,53,1
0.2700491,0.51391162,0.075286416,1.31E-01,0.009819967,5.87E+02,5.32E+02,55,1
0.267379679,0.520053476,0.073529412,0.131016043,0.00802139,715,649,66,1
0.290877797,0.502581756,0.079173838,0.120481928,0.006884682,564,501,63,1
0.25,0.522435897,8.01E-02,0.137820513,0.009615385,591,540,51,1
0.262222222,0.497777778,0.08,0.146666667,0.013333333,431,3.88E+02,43,1
0.255395683,0.523381295,0.077338129,0.138489209,0.005395683,530,486,44,1
0.247142857,5.33E-01,0.084285714,1.24E-01,0.011428571,6.66E+02,616,5.00E+01,1
0.259567388,0.512479201,0.079866889,0.136439268,0.011647255,574,521,53,1
0.248962656,0.520055325,0.088520055,0.135546335,0.006915629,6.88E+02,6.29E+02,59,1
0.251012146,5.18E-01,0.08097166,1.34E-01,0.016194332,470,430,4.00E+01,1
2.62E-01,5.10E-01,0.066666667,1.48E-01,0.014285714,399,361,38,1
0.271692745,0.504978663,0.086770982,0.12802276,0.008534851,677,607,70,1
2.52E-01,0.524834437,0.081125828,0.13410596,0.008278146,5.74E+02,526,48,1
0.280431433,0.497688752,6.63E-02,0.146379045,0.009244992,6.25E+02,5.59E+02,66,1
0.263358779,0.5,0.072519084,0.160305344,0.003816794,249,223,26,1
0.277504105,0.527093596,0.070607553,0.118226601,0.006568144,584,529,55,1
0.253937008,0.507874016,0.078740157,0.141732283,0.017716535,483,438,45,1
0.274576271,0.498305085,0.06440678,1.42E-01,0.020338983,284,256,28,1
0.265168539,0.543820225,0.06741573,0.121348315,0.002247191,424,391,33,1
0.235294118,0.513368984,0.092691622,0.146167558,0.012477718,529,483,46,1
0.241776316,0.518092105,0.09375,0.138157895,0.008223684,577,528,4.90E+01,1
0.285714286,0.511463845,0.059964727,0.132275132,1.06E-02,545,489,56,1
0.249605055,0.516587678,0.083728278,0.140600316,0.009478673,600,546,54,1
0.269685039,0.50984252,0.072834646,0.13976378,0.007874016,485,436,49,1
0.259615385,0.514423077,0.076923077,0.134615385,0.014423077,397,361,36,1
0.256351039,0.515011547,0.062355658,0.150115473,0.016166282,409,372,37,1
0.261904762,0.515873016,0.077777778,0.13015873,0.014285714,600,543,57,1
2.45E-01,0.526442308,0.074519231,0.137019231,0.016826923,3.94E+02,364,3.00E+01,1
0.2618683,0.520673813,0.082695253,0.131699847,0.003062787,6.25E+02,5.69E+02,5.60E+01,1
0.244186047,0.494186047,0.075581395,0.168604651,0.01744186,4.88E+02,442,46,1
0.249452954,0.501094092,0.076586433,0.159737418,0.013129103,432,390,42,1
0.248691099,0.52486911,0.085078534,0.136125654,0.005235602,725,6.64E+02,61,1
0.259803922,0.549019608,0.068627451,1.18E-01,0.004901961,3.89E+02,362,27,1
0.259445844,0.518891688,0.080604534,0.130982368,0.010075567,380,347,33,1
0.248175182,0.51459854,0.098540146,0.124087591,0.01459854,261,237,24,1
0.251956182,5.23E-01,0.081377152,0.13458529,0.009389671,6.07E+02,555,5.20E+01,1
0.251655629,0.511589404,0.071192053,0.152317881,0.013245033,573,523,50,1
0.240816327,0.512244898,0.083673469,0.151020408,0.012244898,461,419,42,1
0.272493573,0.496143959,0.077120823,1.44E-01,0.010282776,747,667,80,1
0.260670732,0.551829268,0.067073171,0.118902439,0.00152439,624,580,44,1
0.256910569,0.525203252,0.079674797,0.128455285,0.009756098,586,536,50,1
0.28358209,0.514246947,0.066485753,0.131614654,0.004070556,709,637,72,1
0.258347979,0.53602812,0.072056239,0.121265378,1.23E-02,541,498,43,1
0.26618705,0.521582734,0.075539568,0.133093525,0.003597122,2.65E+02,240,25,1
0.268476621,0.512820513,8.14E-02,0.126696833,1.06E-02,637,576,6.10E+01,1
0.256323777,0.52613828,0.077571669,0.129848229,0.010118044,564,516,48,1
0.25748503,0.520958084,0.068862275,1.42E-01,0.010479042,635,5.81E+02,54,1
0.25498008,0.501992032,0.079681275,0.150066401,0.013280212,716,646,70,1
0.250716332,0.505730659,0.09025788,0.146131805,0.007163324,664,600,64,1
0.265682657,0.494464945,0.066420664,0.151291513,0.022140221,258,231,27,1
0.283216783,4.90E-01,0.062937063,0.15034965,1.40E-02,275,244,31,1
0.261163735,0.52232747,0.075778078,0.132611637,0.00811908,707,647,60,1
0.25862069,5.19E-01,0.075431034,0.13362069,0.012931034,440,399,41,1
0.26142596,0.517367459,0.074954296,0.135283364,0.010968921,521,473,48,1
0.271807838,0.518331226,0.07079646,0.13147914,0.007585335,759,689,70,1
0.254486134,0.51223491,0.081566069,0.133768352,0.017944535,583,529,54,1
0.271629779,0.54527163,7.44E-02,1.09E-01,0,477,439,38,1
0.255255255,0.525525526,0.081081081,0.126126126,0.012012012,318,292,26,1
0.250847458,0.520338983,0.076271186,0.138983051,0.013559322,560,513,47,1
0.245762712,0.519067797,0.078389831,0.141949153,0.014830508,447,410,37,1
0.251004016,5.24E-01,0.06626506,1.47E-01,0.012048193,469,429,40,1
0.260330579,0.518595041,0.068181818,0.138429752,0.01446281,460,419,41,1
0.252268603,5.17E-01,0.099818512,0.127041742,0.003629764,5.27E+02,479,48,1
0.265306122,0.510204082,0.076530612,0.132653061,0.015306122,377,343,34,1
0.258382643,0.518737673,0.065088757,0.142011834,0.015779093,484,445,39,1
0.262658228,0.504746835,0.080696203,0.137658228,0.014240506,604,544,60,1
0.250788644,0.528391167,0.077287066,0.130914826,0.012618297,603,556,47,1
0.251239669,0.519008264,0.079338843,0.132231405,0.018181818,575,526,49,1
0.26585695,0.523616734,0.067476383,0.140350877,0.002699055,704,639,65,1
0.243194192,0.517241379,0.081669691,0.148820327,0.00907441,520,475,45,1
0.28030303,0.487878788,0.06969697,0.153030303,0.009090909,634,561,73,1
0.270560191,5.05E-01,7.87E-02,0.139451728,0.005959476,802,717,85,1
0.252911814,5.36E-01,0.069883527,0.138103161,0.003327787,5.71E+02,5.29E+02,42,1
0.253465347,0.497029703,0.073267327,1.64E-01,0.011881188,479,4.32E+02,47,1
0.275362319,0.5085639,0.073781291,1.38E-01,0.003952569,7.28E+02,653,75,1
0.273001508,0.520361991,0.073906486,0.123680241,0.009049774,637,578,59,1
0.257452575,0.52303523,0.073170732,0.135501355,0.010840108,3.51E+02,3.21E+02,30,1
0.260869565,0.507246377,0.065217391,0.152173913,0.014492754,263,239,24,1
0.260292165,5.11E-01,0.078353254,0.13811421,0.011952191,717,648,69,1
0.286783042,0.511221945,0.06234414,0.137157107,0.002493766,387,348,39,1
0.261558785,0.513870542,0.077939234,0.134742404,0.011889036,723,656,67,1
0.249084249,5.20E-01,8.06E-02,1.28E-01,0.021978022,259,2.37E+02,22,1
0.266149871,0.516795866,0.074935401,0.130490956,0.011627907,741,673,68,1
0.245575221,0.5,8.41E-02,0.157079646,0.013274336,427,385,4.20E+01,1
0.266115702,0.523966942,0.074380165,0.125619835,0.009917355,580,530,50,1
0.251572327,0.524109015,0.088050314,0.134171908,0.002096436,453,413,40,1
0.260364842,0.527363184,0.069651741,0.135986733,0.006633499,574,526,48,1
0.265402844,0.528436019,8.29E-02,0.123222749,0.00E+00,404,368,36,1
0.266875981,0.519623234,0.067503925,0.139717425,0.006279435,608,553,55,1
0.266075388,0.518847007,0.062084257,0.141906874,1.11E-02,429,390,39,1
0.241258741,0.520979021,0.090909091,0.134615385,0.012237762,5.42E+02,4.97E+02,45,1
2.53E-01,0.494176373,7.49E-02,0.169717138,8.32E-03,569,511,58,1
0.267201835,0.514908257,0.074541284,0.134174312,0.009174312,834,755,79,1
0.243243243,0.516358464,9.82E-02,0.13655761,0.0056899,668,609,59,1
0.267361111,0.510416667,0.079861111,0.121527778,0.020833333,276,249,27,1
0.259119497,0.506918239,0.07672956,0.142138365,0.01509434,758,686,72,1
0.25477707,5.11E-01,0.074840764,1.50E-01,0.00955414,597,543,54,1
0.261627907,5.17E-01,0.072674419,0.136627907,0.011627907,657,5.99E+02,58,1
0.280087527,0.507658643,0.070021882,0.129102845,0.013129103,438,391,47,1
0.264925373,0.527985075,0.076492537,0.117537313,0.013059701,513,469,44,1
0.263358779,4.85E-01,0.064885496,1.64E-01,0.022900763,250,224,26,1
0.272331155,0.525054466,7.19E-02,0.130718954,0,439,398,41,1
0.256292906,0.514874142,0.070938215,0.14416476,0.013729977,415,378,37,1
0.262931034,0.525862069,0.063218391,0.140804598,0.007183908,663,6.08E+02,5.50E+01,1
0.253187614,0.531876138,0.061930783,0.14571949,0.007285974,519,479,40,1
0.292079208,0.517326733,0.056930693,0.128712871,0.004950495,3.89E+02,349,4.00E+01,1
0.256140351,0.531578947,0.075438596,0.126315789,0.010526316,542,498,44,1
0.252923977,0.527777778,0.083333333,1.27E-01,0.00877193,6.51E+02,597,54,1
0.270207852,0.515011547,0.071593533,0.129330254,0.013856813,415,376,39,1
0.248508946,0.514910537,0.073558648,0.151093439,0.011928429,477,437,40,1
0.257001647,0.527182867,0.075782537,0.136738056,0.003294893,579,532,47,1
0.248826291,5.09E-01,7.98E-02,0.153364632,0.009389671,6.06E+02,551,55,1
0.276707531,0.511383538,0.070052539,0.134851138,0.007005254,548,493,55,1
3.13E-01,0.505392912,0.070878274,1.11E-01,0,636,561,75,1
0.244485294,0.522058824,0.069852941,0.152573529,0.011029412,514,474,40,1
0.253521127,0.512323944,0.079225352,0.14084507,0.014084507,541,4.93E+02,48,1
0.266875981,0.522762951,0.080062794,0.120879121,0.009419152,611,556,55,1
0.260935143,0.526395173,0.076923077,0.125188537,0.010558069,633,579,54,1
0.267904509,0.549071618,0.071618037,0.111405836,0,361,334,27,1
0.244541485,0.515283843,0.07860262,0.14628821,0.015283843,433,3.96E+02,37,1
0.257918552,0.524886878,0.081447964,0.131221719,0.004524887,633,579,54,1
